content_hash_id,content_type,mar_impressions,ctr_mar,action,confidence,hypotheses,report,elapsed
content_0c5606abaaab3178,keyword article,38865.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite holding a strong average position of 4.8. With zero clicks and zero engaged sessions across 38,865 impressions in March, the primary driver of this underperformance appears to be an ineffective snippet or call-to-action rather than ranking issues. The significant impression volume relative to the low search volume of 10.0 suggests the content is being surfaced broadly but failing to convert user interest into clicks.",8.865668535232544
content_23a42776a7009b65,keyword article,28950.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap (0.0% vs. 0.3% band average) despite holding a top-10 position at 9.6, indicating a significant visibility-to-click conversion failure. With zero clicks recorded across 28,950 March impressions and 91,524 April impressions, the primary driver appears to be an ineffective snippet or call-to-action rather than a ranking decline. The content is relatively new (100 days old) and shows high momentum, suggesting the issue is specific to user engagement with the search result presentation.",2.957871675491333
content_713b157e9c77690a,keyword article,24908.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite holding a strong average position of 3.43. With zero clicks generated from 24,908 impressions in March, the primary driver of this underperformance appears to be an ineffective snippet or call-to-action rather than ranking issues. The significant impression volume increase from February to March highlights a missed opportunity for engagement at a top-10 position.",2.9015986919403076
content_93d76695da196fdf,keyword article,19292.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap relative to the band average, recording 0.0% CTR against a 0.3% benchmark despite 19,292 impressions in March. With zero clicks generated at an average position of 8.24, the primary driver of underperformance appears to be a lack of compelling snippet or CTA engagement. The significant impression volume (19,292) combined with zero engaged sessions indicates a critical visibility-to-conversion failure.",2.953040599822998
content_cc9732f0da1d8d2d,keyword article,17115.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite holding a strong average position of 6.01. With zero clicks generated from 17,115 impressions in March, the primary driver of this underperformance appears to be an ineffective snippet or call-to-action rather than ranking issues. The content is relatively new at 100 days old, suggesting the metadata may not yet be optimized for user intent. This complete lack of engagement despite high visibility indicates a critical disconnect between the search result presentation and user expectations.",2.9064996242523193
content_b9d46abd9ffa6c8a,keyword article,15902.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite a significant impression surge from 94 in February to 15,902 in March. With zero clicks generated across 31 days of data at an average position of 8.56, the primary driver of this underperformance appears to be a lack of compelling snippet or CTA elements. The content is relatively new at 100 days old, suggesting the issue is presentational rather than due to age-related decay.",3.1772561073303223
content_fe8baba849843607,keyword article,14813.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite holding a strong average position of 3.13. With zero clicks generated from 14,813 impressions in March, the primary driver of this underperformance appears to be an ineffective snippet or call-to-action rather than ranking issues. The significant impression volume increase (momentum of 303.7%) highlights a missed opportunity to convert high visibility into engagement.",2.916339874267578
content_d2eb49b1f5f3fa34,keyword article,14482.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite holding a strong average position of 7.4. With zero clicks and zero engaged sessions across 14,482 March impressions, the primary driver of this underperformance appears to be an ineffective snippet or call-to-action. The significant impression volume increase from February (3,940) to March (14,482) highlights a missed opportunity for engagement. Given the complete lack of user interaction at a top-10 ranking, the content is at high risk of further visibility loss.",3.170347213745117
content_9e0a8a913953b8d3,keyword article,13001.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page experienced a significant impression surge in March (13,001) compared to February (136), yet recorded zero clicks, resulting in a 0.0% CTR against a band average of 0.3%. This 100% gap in performance, combined with an average position of 6.6, indicates a severe disconnect between visibility and user engagement. The primary driver appears to be an ineffective snippet or call-to-action that fails to convert high-volume impressions into traffic. Given the high momentum score of 9,459.56 and the complete lack of engagement over 29 days, the content is at high risk of further algorithmic demotion.",3.2299089431762695
content_551a522809e0358c,keyword article,11355.0,0.0,REFRESH,high,"['position_ctr_gap', 'zero_click_opportunity']","The page exhibits a 100% CTR gap, recording 0.0% against a band average of 0.3% despite holding a strong average position of 6.87. With zero clicks generated from 11,355 impressions in March, the primary driver of this underperformance appears to be an ineffective snippet or call-to-action rather than ranking issues. The content is relatively new at 100 days old, suggesting the metadata may not yet be optimized for user intent.",2.9311723709106445
